Top total rewards,
NodeID-NZEnXQpa55wAhwpcUZFgSAREXW1FLdkzQ,50
NodeID-N4vaumNTt2kixxUTtWEBgy4vwsxnuahc2,49
NodeID-GMJcCQwhNFDGQy4NAkKM563BMudjmHpXb,48
NodeID-HpEw7munmgQtTNd8PWqp8T4GNU738Jvc2,47
NodeID-36giFye5epwBTpGqPk7b4CCYe3hfyoFr1,43
NodeID-76XArRwroAABXkdQ7A6b2nT22GeWBS4U2,42
NodeID-NNCuqkczH7E13ob75z9bZh86jWaH3ZjYA,42
NodeID-QECwTGrugVMUzYfzPZ8r41Z5ZXZkDT7wx,40
NodeID-4gTwepTF5fcacXB7gdYZLTtfSFsYh4faj,39
NodeID-5eogZcASu4bDhWxMuUF6h7VFK5SCt3msp,38
NodeID-7JxkjT4JM3qzvQHrChv6YEJ96U9ziA8cb,37
NodeID-HJFNRi3aPyHGDqVCNUw3MMbSHBepsQi2F,36
NodeID-BCjCQfJr4s8wrY7vTuBMDt1teXTmF6naf,36
NodeID-EB3Sf13da9AS8WBby5jzA3sBS3fY7mm1Y,36
NodeID-PL7xq98yQ9kTYyGDvVQg3efowKeHug3HN,35
NodeID-9eoPiKPHzUd86eZBjME28vdDsv1ytwavK,34
NodeID-HydSrrCw7Ec8o9kVunjwefzgYCZWkbz4o,34
NodeID-Ns1eDN3K9HTnavgiBQhtpzRxUCxJ55Xhc,32
NodeID-NYNMabJTpEEMMtSjcFtcEcnRyed79zMT8,32
NodeID-8ALyunjeYV85zBSrD2rjJdQ754z9jasvq,30
NodeID-CTLUcrRXCj4meJTsaifrUFaQPw19Nk1D8,29
NodeID-6iresvQ2F4jrjYAR8ZL4HBrM5bFYvPvyr,29
NodeID-Ezk1hTiN5bogETxygJ5NciRvHXgXvUVVM,29
NodeID-PUw5p37RZKVjpK8kxBa12TBtZZdhykGUP,28
NodeID-NYoijVY9eku4Zocw9YZsLYFXJ2iNRjoVk,27
NodeID-FCRNCtp2xuxPbQEML6vvxXev86Wq59a7B,26
NodeID-CU7T6w5aj2hPEtfHSf1GWXpXKLWnN8uWG,26
NodeID-KAPvcnuT19rM8cyAKJj6dHKHi2KpRJa7v,26
NodeID-8NK1pWM2xyuucdECF2bC6cSEeZCZWYJVF,25
NodeID-JpSbAFWbh6BSMHaLBeeVy8GUUyBJfx2HZ,25
NodeID-CgbgB1UFpUESETV1CVGDM17bE9JA4tVHK,24
NodeID-7VNmYGnPqN4NcAgEszTEZrLVsR5hykTSN,24
NodeID-GLnWqFLPWwtT98x7fg6FCTDMzJ6tDcptC,24
NodeID-EkvXF2Sxi5XcHnscti1kYzdVCUA3WhdFW,23
NodeID-GMThg1PWUUXURr2XcRV3eYYpjViAW8hp1,23
NodeID-9PzVetjSSSY4Xtk3VnNcGzQdEjZSSkR4g,22
NodeID-A6onFGyJjA37EZ7kYHANMR1PFRT8NmXrF,22
NodeID-4MpvMQNXorJ1xoy87D6XmCJEPTUaJabQ5,22
NodeID-MuJYGEEzMEFknyeU9poHBuHTQ2jxnfx4w,22
NodeID-JbpJyQjj7M64LojEddtMhpNMdQ8Q1ZycN,22
NodeID-AbfdkS6u8F8kxh2pPuK32KASNK4sSr4QR,21
NodeID-6BB2rz6oSXshkaywH7BnKCE9FCqWVGq5J,21
NodeID-AhMESARpkJVW2pRooPADRiucD4r71faFh,21
NodeID-DueWyGi3B9jtKfa9mPoecd4YSDJ1ftF69,21
NodeID-Cec1fqHuYfNHjH6TZaWwYMxM2EgYfUD9h,21
NodeID-ENc7M77QRhgtpDojDQY5nqjndjiYCWR4i,20
NodeID-NFKCsuQR2ARMsvm6gCDDL2VqzkGj5Te7t,19
NodeID-4xQpQD2yD5xxpMmK8qmaWxyeC8gCqAUbY,19
NodeID-2SE8iaVxjPGPAbbk4hKq48wYHoZAMaQ7t,19
NodeID-6gRx5vFhuMTDtaRYP82ZSGuBq7eR5s3jw,18
NodeID-Hk3XcN2RJNg3HdmMWDw4LfutQDg1A6NBg,18
NodeID-PffbZa6fvkTrUasqN5XsGHZrtcziecQ54,17
NodeID-32aVnE9HYv1FesKKbvvUh1ZvFU3ARNtR2,17
NodeID-6kDsBHKX9q4veBHoCjyHh94CyLNobXiY4,17
NodeID-M2GzUHMm8m9heXdUHV8GneQUxmAHshfyn,17
NodeID-4AWHc6b817tKesbKJ22EAEsJa4GkrDuNE,17
NodeID-5s9gCg2xSYZQEyw6Dp8ShsQom1W8SXnsc,17
NodeID-Kfqu9wo9FhcXG1jK9nVwbTrBV3d3kzmKR,17
NodeID-BK4e2jvA74mK9sPkfiAt25JDsnokAb8Ed,16
NodeID-L9HsJPQ9TF5aXjdx3KnQrh1eWaHJaNXNj,15
NodeID-NYa1ebjSRTYXaxKCkTii1yJXGdkasbTWc,15
NodeID-9oP7KmQjtxi7rK5GKmRXFNuNpPmr2vzfw,14
NodeID-CHrDeQXEdNyuRSyabdP1TdRjKVZEvaSvT,14
NodeID-CNX6No1VNMFUU92HAgro92xeV7JAYpgQW,14
NodeID-FjXxUM6axBx1GSiatQdqeF1YgZQzpmbkE,14
NodeID-WAHX8MXekynX6xZSFiSewY9Qxnhq5HZh,14
NodeID-8bRbFRqTBNTYZBYKVEVvDz8XSwULmTigX,14
NodeID-6CYTsW7ns6ZXrsiPP5ykV8aainkDgjrWk,14
NodeID-BTQRRmUixsNs9ikrCFTW2HrDp6JMTZKiJ,14
NodeID-NttxKRpGqA8Min3fWcPaJyQEVRjUGx55d,14
NodeID-KVB8F5Gy8adXA2zCg3i3m3qJ23NoCDDiA,14
NodeID-4kuLtWqMdcvCko2EZh9BtH4x3ApdHu9b9,13
Popular nodes by delegation amount,
NodeID-CW1oWgrfSJVz1mbyBGF1qk74XHRQ5vNhF,45713.272277042
NodeID-7CCynVtyQVRBTCjzpfrsrSuaCTjXw7o3G,44242.682735672
NodeID-JarZPCP7whua3o4PEKzkgkZfJoVF8gQpv,42708.969465060996
NodeID-NJ8iSYPYPqU9TyPbjadkNFyjjWJdCgpLg,37467.98414443001
