Disclaimer: I extracted this by injecting printing statements in the P-Chain code. There is no warranty for accuracy and it is all your responsibility to use this data.,,,,,
Tx ID,Address,Type of Reward,nAVAX,Node,Time
2ZHv7GvNhG7JNxzVE1NcMRQaGQXENEtqdBNP4GTwLrnZziNVyo,P-avax1k4ztrxvjcrxjwmz4mp867ff9lzpj59raq2vl9f,delegator,12899219724,NodeID-HJFNRi3aPyHGDqVCNUw3MMbSHBepsQi2F,2020-10-06T05:00:14-04:00
2ZHv7GvNhG7JNxzVE1NcMRQaGQXENEtqdBNP4GTwLrnZziNVyo,P-avax1k4ztrxvjcrxjwmz4mp867ff9lzpj59raq2vl9f,delegatee,263249383,NodeID-HJFNRi3aPyHGDqVCNUw3MMbSHBepsQi2F,2020-10-06T05:00:14-04:00
21Z8XuGsSL3NDCpgsygES3JYSfLg4GSSLVtz1dyHJJYkoy8DpG,P-avax1xu253rgettd4k223qd0lpwnfmfmj9xpt98w9ka,staking,24337876191,NodeID-KHxUGnehVV8U7dwU5RiKkFpTmbRXtSZb,2020-10-06T05:45:21-04:00
2ip9NtdgXeaUTCNELBj2qkLrp7H8cikjsuPWRWSX71rgZEy2eE,P-avax1hput05cla4sqkx9uf8vxurlzkledcun7k65uar,delegator,139523622314,NodeID-HJFNRi3aPyHGDqVCNUw3MMbSHBepsQi2F,2020-10-06T06:06:26-04:00
2ip9NtdgXeaUTCNELBj2qkLrp7H8cikjsuPWRWSX71rgZEy2eE,P-avax1hput05cla4sqkx9uf8vxurlzkledcun7k65uar,delegatee,2847420864,NodeID-HJFNRi3aPyHGDqVCNUw3MMbSHBepsQi2F,2020-10-06T06:06:26-04:00
2sYL3bRhrgXE4RuSjCsQztKKTYobwVizKJN2i9WSswa33QPuFg,P-avax17cpv06karflprjlk7rnt3el6rr8k7p9svxp5ed,delegator,2951882687,NodeID-KqKMF5JYhxjkMVpYWQz8zTiv1N1qm2nSf,2020-10-06T06:30:41-04:00
2sYL3bRhrgXE4RuSjCsQztKKTYobwVizKJN2i9WSswa33QPuFg,P-avax17cpv06karflprjlk7rnt3el6rr8k7p9svxp5ed,delegatee,60242504,NodeID-KqKMF5JYhxjkMVpYWQz8zTiv1N1qm2nSf,2020-10-06T06:30:41-04:00
Udo5K154Kom2xKnD8cPCBv4JnVMq8faELSaoCjvDyCWUrcjjs,P-avax1pexpfywkky533z5hpc24zv3j704xrdn8tg9fm5,delegator,37241827173,NodeID-HJFNRi3aPyHGDqVCNUw3MMbSHBepsQi2F,2020-10-06T06:36:46-04:00
Udo5K154Kom2xKnD8cPCBv4JnVMq8faELSaoCjvDyCWUrcjjs,P-avax1pexpfywkky533z5hpc24zv3j704xrdn8tg9fm5,delegatee,760037290,NodeID-HJFNRi3aPyHGDqVCNUw3MMbSHBepsQi2F,2020-10-06T06:36:46-04:00
aJRAFUyCagTGuUJjWTiq3BBtrNBz2CYKGtKqxUFKRT4yDK71V,P-avax1vlsjh46ny9q6aerc68q0ycj3lprxe0j22zfug5,staking,7530636424,NodeID-5WMfeWwEQARqdpcDzvGABHr273YPYiLEx,2020-10-06T07:13:49-04:00
8XiFzBn2unAj64Kwe25JZUhPrwNjiVvS5zbq8XhtqhfZFSjr5,P-avax16d6jystqynydv3wqvmxgsre629lxvyqw4g903t,delegator,1844906191,NodeID-Nom39tjDi1Vf51VxuaZvJiDeQHwbyg6MU,2020-10-06T07:41:38-04:00
8XiFzBn2unAj64Kwe25JZUhPrwNjiVvS5zbq8XhtqhfZFSjr5,P-avax16d6jystqynydv3wqvmxgsre629lxvyqw4g903t,delegatee,37651147,NodeID-Nom39tjDi1Vf51VxuaZvJiDeQHwbyg6MU,2020-10-06T07:41:38-04:00
htGQG6yKSUh1ojLhsF6U2ugS8eyMpnbrFAYvfDfCshXSDCsqh,P-avax1gx4dr46wcxldk5gf243kv42q06hqxj8akz3ant,delegator,11676004145,NodeID-HJFNRi3aPyHGDqVCNUw3MMbSHBepsQi2F,2020-10-06T07:49:48-04:00
htGQG6yKSUh1ojLhsF6U2ugS8eyMpnbrFAYvfDfCshXSDCsqh,P-avax1gx4dr46wcxldk5gf243kv42q06hqxj8akz3ant,delegatee,238285799,NodeID-HJFNRi3aPyHGDqVCNUw3MMbSHBepsQi2F,2020-10-06T07:49:48-04:00
hBDzK4UqQEDtX7pP162kyKLhBjEgabnJD9MX2eZeh78fEQ5w1,P-avax1v4xwy0ech2q0gnr34jhz5p0jfr99yxxu4tqn0q,staking,7530176326,NodeID-BZQkLdAXfboj4bxeqq6Afh3UrxTEiUY8R,2020-10-06T08:12:28-04:00
qZ9z9ABnaavaF9NnD9WFaRj4zCKFRL3ZJPz1THaAJDQZYsEJX,P-avax1mhvfyr0acezgkpauvuu6gtgtxuwxmxxzu8g4ju,delegator,378586708780,NodeID-FVgkUobMuUBABuMA2KngEsm2SG9XLGvdW,2020-10-06T08:50:08-04:00
qZ9z9ABnaavaF9NnD9WFaRj4zCKFRL3ZJPz1THaAJDQZYsEJX,P-avax1mhvfyr0acezgkpauvuu6gtgtxuwxmxxzu8g4ju,delegatee,41598317614,NodeID-FVgkUobMuUBABuMA2KngEsm2SG9XLGvdW,2020-10-06T08:50:08-04:00
2nvzKETJ8pjXx5NX6RmJYY3oh6UNCNXuVapeDrpfcZyYseqfsk,P-avax1dk2wfnf0xpwl9ka3zfu8hsj8f43dyf74d6mzuy,delegator,110117108256,NodeID-HJFNRi3aPyHGDqVCNUw3MMbSHBepsQi2F,2020-10-06T08:56:22-04:00
2nvzKETJ8pjXx5NX6RmJYY3oh6UNCNXuVapeDrpfcZyYseqfsk,P-avax1dk2wfnf0xpwl9ka3zfu8hsj8f43dyf74d6mzuy,delegatee,2247287924,NodeID-HJFNRi3aPyHGDqVCNUw3MMbSHBepsQi2F,2020-10-06T08:56:22-04:00
29C9Rgdxidd4xYvopDQu3L8qREYcncxuYwkGCLSMJqrz4SUKkS,P-avax1jf6wz8ds0jehsq4mlsl9xjdcxx9wu2vq8spj9r,delegator,8320390617,NodeID-HJFNRi3aPyHGDqVCNUw3MMbSHBepsQi2F,2020-10-06T08:58:53-04:00
29C9Rgdxidd4xYvopDQu3L8qREYcncxuYwkGCLSMJqrz4SUKkS,P-avax1jf6wz8ds0jehsq4mlsl9xjdcxx9wu2vq8spj9r,delegatee,169803891,NodeID-HJFNRi3aPyHGDqVCNUw3MMbSHBepsQi2F,2020-10-06T08:58:53-04:00
26HJPYo4V33D68c1rGjyLnMNVUP5hyCC77gn6UePXKosAosKCo,P-avax1kkvav2gtemv97gv50qe7u0p36p76lkc337ex72,delegator,740169455,NodeID-HJFNRi3aPyHGDqVCNUw3MMbSHBepsQi2F,2020-10-06T09:20:03-04:00
26HJPYo4V33D68c1rGjyLnMNVUP5hyCC77gn6UePXKosAosKCo,P-avax1kkvav2gtemv97gv50qe7u0p36p76lkc337ex72,delegatee,15105500,NodeID-HJFNRi3aPyHGDqVCNUw3MMbSHBepsQi2F,2020-10-06T09:20:03-04:00
2Dsat1gVc3SMS8dcU1c5MkxE5PuPfy4hWxeAwTsWbgPMRdVzA1,P-avax1kkvav2gtemv97gv50qe7u0p36p76lkc337ex72,delegator,717475302,NodeID-Ns1eDN3K9HTnavgiBQhtpzRxUCxJ55Xhc,2020-10-06T09:20:30-04:00
2Dsat1gVc3SMS8dcU1c5MkxE5PuPfy4hWxeAwTsWbgPMRdVzA1,P-avax1kkvav2gtemv97gv50qe7u0p36p76lkc337ex72,delegatee,37761859,NodeID-Ns1eDN3K9HTnavgiBQhtpzRxUCxJ55Xhc,2020-10-06T09:20:30-04:00
2eHwqaHT6JNmvKUpy31KPFKC6Aacu2QaJAs1eY3erqjvFN7yYb,P-avax16hlf47kldtn04frvnmshwl6ejp2q3uy2tfmpng,delegator,7390777873,NodeID-Lq38jDL4LGMuDCj5ZJ4J23uMLBMGEWjT5,2020-10-06T10:59:16-04:00
