Top total rewards,
NodeID-Ccx7u3SwfPt52GxWbNc74kjVJvqktTkn8,7225
NodeID-HpEw7munmgQtTNd8PWqp8T4GNU738Jvc2,7202
NodeID-FEtgjYGndfWGzLZELTJJoikpSobjVKTjk,7157
NodeID-NNyxDSovcVYmXHacSM8aK2pg67oPjkRrE,7156
NodeID-HUhV9p89bxuTcQ19x827SaL1eX7tg5zgk,7148
NodeID-C9CJ3oVhdeLf2Db71JPuzvEUKjy3BdoAA,7037
NodeID-MikkG849wcdpBdeUJ2HTV2gTEDfeXWseg,7035
NodeID-CNyGDr2EvPqxfybfNLkpGWqMQHiZthJ3Q,7016
NodeID-5qr8okF4mnAB2JhAvaJuwqMGXN3gi9QXD,6841
NodeID-GFpbV4ApFkQUxfVDcaYmv6MLPRmszT7pP,6791
NodeID-GftVKXHGLesexSWg74xk6bCqCWcUGWFTV,6759
NodeID-KtJLagoYnWfw2oBnRki63NcguiGjuA2Cr,6659
NodeID-Ezk1hTiN5bogETxygJ5NciRvHXgXvUVVM,6505
NodeID-FVgkUobMuUBABuMA2KngEsm2SG9XLGvdW,6471
NodeID-KQocfzJn3D4V4gBGPYsUB9Es7nT28Atvq,6445
NodeID-43AKDBv1R4hvnt9bjDFA4SEcwFMzZqpXX,6436
NodeID-JkjTJNKyJwjEfxdfgQhvrUuf9x3ovpQBs,6425
NodeID-47pbycgGRRWtAB4FZ5fJZApoeG4nzv41U,6401
NodeID-Nwr26Q5CPcRfSHQKgQ5y3ayVPgjziWkkT,6325
NodeID-7LvgVzHX6jsppFQggdZmcgcvbp3pRm3ue,6315
NodeID-2eraCsE3WijaEnkcFX77hbK494TneHXkY,6266
NodeID-9D33RPjZwKx3gV6MVs77z4uPJcKgqy4ns,6253
NodeID-3WH62agC9m63q5SmAyPvhhLygsUjboQe3,6237
NodeID-6pXaVajr1G1nj8Z4rEXisGUajXGcFPh14,6171
NodeID-2yC7fWX23kGjCd7ytqGzQQcRJf7xaj1N1,6162
NodeID-PZ66baswBL8xsSHaFVG2Yx7qH8MkBfXSK,6114
NodeID-DXaXYKoAHmysSuzPC2c91LzwPku6XYfmZ,6103
Popular nodes by delegation amount,
NodeID-N2t1CAS75972obgtRPHwVanMnRF1rRo1B,380904.714885683
NodeID-HpMSfYT2ox1vkr1hFNMwmdWuq8QWhvH2u,379726.22222420154
NodeID-77sRzBARyvwQk9g4d2CZaucRQeRA7SJuh,296271.99983060913
NodeID-L4uRarPYc7qoqYn91byV57dCVKLXJAANk,295998.46816983534
NodeID-CW1oWgrfSJVz1mbyBGF1qk74XHRQ5vNhF,291709.9800994808
NodeID-DXaXYKoAHmysSuzPC2c91LzwPku6XYfmZ,286213.20134833356
NodeID-7LNdeGcBz3QGPzJo4QkVVJxKxLrBmqz9m,177657.67659846216
NodeID-E2cZYRHSCUKk7wBia3Pmg1gFT6Y8A5Vxo,169408.24057564203
NodeID-FVgkUobMuUBABuMA2KngEsm2SG9XLGvdW,146804.87688656585
NodeID-LcCCdngcdPWpuyNz2MvTRJd8n2aXdFJWY,142099.05954641904
NodeID-8c8MX2Y8zmgAMr64vm8LMZoxQhFq7bSHk,139908.38621989373
NodeID-8UynAEU8PuuGetmjiiPcbGmvD3EyycuN6,134350.58002746213
NodeID-6kDsBHKX9q4veBHoCjyHh94CyLNobXiY4,122280.73682502103
NodeID-5o4eWuhvE9cmScEoZHr8ngGebxa94rFLo,119782.63888791231
