Disclaimer: I extracted this by injecting printing statements in the P-Chain code. There is no warranty for accuracy and it is all your responsibility to use this data.,,,,,
Tx ID,Address,Reward Type,nAVAX,Node,Time
rzvAUWtWQWWAQ1rZ8QR18AEky3HtV6P8kMYNs5wXWfHnvP2MR,P-avax1spz62u9us33pptef736eptpl5fnq9hgnnjnhgr,delegatee,299848186,NodeID-CW1oWgrfSJVz1mbyBGF1qk74XHRQ5vNhF,2021-01-20T04:33:10Z
# block,279341,,,,
2iK3wJ5Cc9FHG7vrzcs2oXSN8KdHomqjp2DXPgD6SQyra572Se,P-avax1czkv2f5nnhw0nc9fhgyc7tf9j98mkpwctt6gjh,delegator,14692559843,NodeID-E2cZYRHSCUKk7wBia3Pmg1gFT6Y8A5Vxo,2021-01-20T04:34:12Z
2iK3wJ5Cc9FHG7vrzcs2oXSN8KdHomqjp2DXPgD6SQyra572Se,P-avax1atncdejuf9h2x37qs7vmtzzp8ww9vzm7zdg8zd,delegatee,299848161,NodeID-E2cZYRHSCUKk7wBia3Pmg1gFT6Y8A5Vxo,2021-01-20T04:34:12Z
# block,279345,,,,
2SbEeNvvWXCjHV7F67MA8YZDUiW9e4oWedBWpnviiHBVLThb2H,P-avax1d9qscenyhjfkq4enp9hdx7zsfaz4hxknqwwklu,delegator,14692558618,NodeID-CW1oWgrfSJVz1mbyBGF1qk74XHRQ5vNhF,2021-01-20T04:36:06Z
2SbEeNvvWXCjHV7F67MA8YZDUiW9e4oWedBWpnviiHBVLThb2H,P-avax1spz62u9us33pptef736eptpl5fnq9hgnnjnhgr,delegatee,299848136,NodeID-CW1oWgrfSJVz1mbyBGF1qk74XHRQ5vNhF,2021-01-20T04:36:06Z
# block,279349,,,,
2p3qzv3XxyHBMrbCt8CYAf483a82VypYQY1QCGKR1fY9ijwpiL,P-avax1scsyw5zmqe5jzzss9cl2g0sfa0m5flmk4wyqak,delegator,14692557392,NodeID-CW1oWgrfSJVz1mbyBGF1qk74XHRQ5vNhF,2021-01-20T04:41:28Z
2p3qzv3XxyHBMrbCt8CYAf483a82VypYQY1QCGKR1fY9ijwpiL,P-avax1spz62u9us33pptef736eptpl5fnq9hgnnjnhgr,delegatee,299848111,NodeID-CW1oWgrfSJVz1mbyBGF1qk74XHRQ5vNhF,2021-01-20T04:41:28Z
# block,279361,,,,
DS53VWoWi97Epmhr2fk2tNtvZ15AyZJsVSEk7tWdBL4TinRVv,P-avax1st4x94su6lq42l36plfq8qkgrge55n8cxy8t9y,delegator,3743333264,NodeID-N2t1CAS75972obgtRPHwVanMnRF1rRo1B,2021-01-20T04:55:59Z
DS53VWoWi97Epmhr2fk2tNtvZ15AyZJsVSEk7tWdBL4TinRVv,P-avax1y8fmzkfhdc2f68vz8lfvsmx0dfv52ckhlp7n06,delegatee,76394557,NodeID-N2t1CAS75972obgtRPHwVanMnRF1rRo1B,2021-01-20T04:55:59Z
# block,279369,,,,
2tHZStR6uhM7VPSYZQxshRTv5JdcHr69zQpv5nNKK8rYar2ApK,P-avax18pyv0mtcjr2az0k5h23hgju2kghz96dcvnrwvp,delegator,14692556167,NodeID-CW1oWgrfSJVz1mbyBGF1qk74XHRQ5vNhF,2021-01-20T05:07:18Z
2tHZStR6uhM7VPSYZQxshRTv5JdcHr69zQpv5nNKK8rYar2ApK,P-avax1spz62u9us33pptef736eptpl5fnq9hgnnjnhgr,delegatee,299848086,NodeID-CW1oWgrfSJVz1mbyBGF1qk74XHRQ5vNhF,2021-01-20T05:07:18Z
# block,279373,,,,
2qBu35RGJuNqoWnMYNcgt8LyhiXhNwxpi7f95uXMKsaakWzPX,P-avax17a7hhsanvqaukvdcw5vy6ewmhss602khzc6ntq,delegator,14692554941,NodeID-CW1oWgrfSJVz1mbyBGF1qk74XHRQ5vNhF,2021-01-20T05:10:50Z
2qBu35RGJuNqoWnMYNcgt8LyhiXhNwxpi7f95uXMKsaakWzPX,P-avax1spz62u9us33pptef736eptpl5fnq9hgnnjnhgr,delegatee,299848061,NodeID-CW1oWgrfSJVz1mbyBGF1qk74XHRQ5vNhF,2021-01-20T05:10:50Z
# block,279382,,,,
qxHHY44Muwu97ZWTLYD9uUdpTav44tGqsGcJv9eAcjy1TJ6h,P-avax17tpcu2n84ww0w3n9maknpnuys6g6kjmkgxspye,staking,7162354451,NodeID-5CHi795qLGebm5qf8CaruygrtVrJaBz1i,2021-01-20T05:50:38Z
# block,279399,,,,
2hBTeZDpF872FkNjbzoWam5uScKtHPYFRLWchFY43q7sd8ab9L,P-avax1z9lf2w6wg6dax2esdwxmuuth9fcdjm9gwuhatd,delegator,14172915693,NodeID-QHEv5so6SF3J6f1scKtWz8zhG2X4KwtN1,2021-01-20T06:33:28Z
